,Close,Market_daily_ret,Strat_daily_ret,Strat_position_EOD,Long_only,Costs,Market_cum_ret,Strat_cum_ret
2004-08-06,1063.969970703125,-0.015480689575870343,-0.015480689575870343,1,0,0.0,4004.403398282265,23184.51392074474
2004-08-09,1065.219970703125,0.0011748451877584554,0.0011748451877584554,1,0,0.0,4009.10795234458,23211.752135355044
2004-08-10,1079.0400390625,0.012973910309109993,0.012973910309109993,1,0,0.0,4061.1217593378383,23512.899325676433
2004-08-11,1075.7900390625,-0.0030119364271447013,-0.0030119364271447013,1,0,0.0,4048.8899187758184,23442.079967689642
2004-08-12,1063.22998046875,-0.011675195100984137,-0.011675195100984137,1,0,0.0,4001.6183390317033,23168.389110493994
2004-08-13,1064.800048828125,0.001476696846605785,0.001476696846605785,1,0,0.0,4007.527516214271,23202.601797634394
2004-08-16,1079.3399658203125,0.013655067923963315,0.013655067923963315,1,0,0.0,4062.250576655329,23519.434901193767
2004-08-17,1081.7099609375,0.00219578185950553,0.00219578185950553,1,0,0.0,4071.170392780314,23571.07844969563
2004-08-18,1095.1700439453125,0.012443338319771735,0.012443338319771735,1,0,0.0,4121.829343335118,23864.381353407076
2004-08-19,1091.22998046875,-0.0035976727982519607,-0.0035976727982519607,1,0,0.0,4107.000350027564,23778.52511776481
2004-08-20,1098.3499755859375,0.006524742945688722,0.006524742945688722,1,0,0.0,4133.797471589348,23933.673881785828
2004-08-23,1095.6800537109375,-0.0024308480305429425,-0.0024308480305429425,1,0,0.0,4123.748838146871,23875.49475776663
2004-08-24,1096.18994140625,0.000465361848639656,0.000465361848639656,1,0,0.0,4125.667873529517,23886.60550214429
2004-08-25,1104.9599609375,0.008000456125331068,0.008000456125331068,1,0,0.0,4158.675098339379,24077.70924144729
2004-08-26,1105.0899658203125,0.00011765574084887653,0.00011765574084887653,1,0,0.0,4159.164390339023,24080.542122166033
2004-08-27,1107.77001953125,0.0024251905218848346,0.0024251905218848346,1,0,0.0,4169.251156397435,24138.94202468256
2004-08-30,1099.1500244140625,-0.007781394120807694,-0.007781394120807694,1,0,0.0,4136.808569960874,23951.107403129176
2004-08-31,1104.239990234375,0.004630819912892159,0.004519281450892159,0,0,0.000111538462,4155.965385462471,24059.34919854446
2004-09-01,1105.9100341796875,0.0015123921974227184,0.0,0,0,0.0,4162.250835084204,24059.34919854446
2004-09-02,1118.31005859375,0.011212507374761538,0.0,0,0,0.0,4208.920103268193,24059.34919854446
2004-09-03,1113.6300048828125,-0.004184933932207091,-0.0,0,0,0.0,4191.306050710077,24059.34919854446
2004-09-07,1121.300048828125,0.006887425726392449,0.0,0,0,0.0,4220.173359830923,24059.34919854446
2004-09-08,1116.27001953125,-0.00448589055367643,-0.0,0,0,0.0,4201.24212402118,24059.34919854446
2004-09-09,1118.3800048828125,0.0018902105356628507,0.0,0,0,0.0,4209.183356146876,24059.34919854446
2004-09-10,1123.9200439453125,0.004953628496854767,0.0,0,0,0.0,4230.034086768372,24059.34919854446
2004-09-13,1125.8199462890625,0.0016904248251332632,0.0,0,0,0.0,4237.184641399805,24059.34919854446
2004-09-14,1128.3299560546875,0.002229494844089963,0.0,0,0,0.0,4246.631422711263,24059.34919854446
2004-09-15,1120.3699951171875,-0.007054639376351202,-0.0,0,0,0.0,4216.672969459754,24059.34919854446
2004-09-16,1123.5,0.002793724302198042,0.0,0,0,0.0,4228.453191208955,24059.34919854446
2004-09-17,1128.550048828125,0.004494925525700966,0.0,0,0,0.0,4247.459773392352,24059.34919854446
2004-09-20,1122.199951171875,-0.0056267754033982875,-0.0,0,0,0.0,4223.560271212505,24059.34919854446
